"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Snack Foods","Canned Sardines","","","","","","","","","","","","","","","",""
"Vegetables","Paper Products","Pain Relievers","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Fruit","","","","","","","","","","","","","","",""
"Dairy","Bread","","","","","","","","","","","","","","","",""
"Bread","Jams and Jellies","Bathroom Products","Dairy","Starchy Foods","Vegetables","","","","","","","","","","","",""
"Jams and Jellies","Bread","Dairy","Canned Soup","","","","","","","","","","","","","",""
"Snack Foods","Decongestants","Meat","","","","","","","","","","","","","","",""
"Hardware","Fruit","Vegetables","Candy","Frozen Desserts","Dairy","Meat","Electrical","","","","","","","","","",""
"Snack Foods","Vegetables","Paper Products","","","","","","","","","","","","","","",""
"Starchy Foods","Jams and Jellies","Bread","Dairy","Frozen Desserts","","","","","","","","","","","","",""
"Meat","Cleaning Supplies","Vegetables","Seafood","Carbonated Beverages","","","","","","","","","","","","",""
"Candy","Baking Goods","Beer and Wine","Frozen Entrees","Dairy","","","","","","","","","","","","",""
"Snack Foods","Electrical","Bread","Meat","Side Dishes","","","","","","","","","","","","",""
"Frozen Desserts","Magazines","Specialty","Vegetables","Canned Anchovies","Bread","Beer and Wine","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Bread","Vegetables","Paper Products","Candles","","","","","","","","","","","",""
"Fruit","Canned Oysters","Snack Foods","","","","","","","","","","","","","","",""
"Dairy","Magazines","Kitchen Products","","","","","","","","","","","","","","",""
"Bathroom Products","Meat","Decongestants","Starchy Foods","Beer and Wine","Electrical","Vegetables","Dairy","","","","","","","","","",""
"Jams and Jellies","Hot Beverages","Carbonated Beverages","Specialty","Snack Foods","Drinks","Seafood","Bathroom Products","","","","","","","","","",""
"Snack Foods","Bathroom Products","Fruit","","","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Bread","Candy","Canned Soup","Snack Foods","","","","","","","","","","","","","",""
"Plastic Products","Breakfast Foods","Dairy","Canned Soup","Snack Foods","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Baking Goods","Canned Soup","Breakfast Foods","Vegetables","","","","","","","","","","","",""
"Fruit","Frozen Desserts","Snack Foods","Jams and Jellies","Electrical","Cleaning Supplies","","","","","","","","","","","",""
"Jams and Jellies","Candy","Canned Sardines","Snack Foods","Vegetables","","","","","","","","","","","","",""
"Specialty","Fruit","Baking Goods","Hot Beverages","Snack Foods","","","","","","","","","","","","",""
"Hot Beverages","Snack Foods","Meat","Pain Relievers","Drinks","Starchy Foods","Packaged Vegetables","","","","","","","","","","",""
"Electrical","Dairy","Snack Foods","","","","","","","","","","","","","","",""
"Bread","Baking Goods","","","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","Electrical","Vegetables","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Paper Products","Fruit","","","","","","","","","","","","","",""
"Meat","Kitchen Products","Baking Goods","Jams and Jellies","","","","","","","","","","","","","",""
"Miscellaneous","Side Dishes","Bread","Frozen Entrees","Breakfast Foods","","","","","","","","","","","","",""
"Plastic Products","Paper Products","Snack Foods","Baking Goods","Vegetables","Canned Clams","Beer and Wine","","","","","","","","","","",""
"Bread","Snack Foods","Canned Soup","","","","","","","","","","","","","","",""
"Snack Foods","Electrical","Pain Relievers","Jams and Jellies","Vegetables","Fruit","Paper Products","","","","","","","","","","",""
"Vegetables","Snack Foods","Beer and Wine","Side Dishes","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","","","","","","","","","","","","","","","",""
"Carbonated Beverages","Meat","Vegetables","","","","","","","","","","","","","","",""
"Dairy","Frozen Desserts","Meat","Hot Beverages","Candy","Cleaning Supplies","","","","","","","","","","","",""
"Dairy","Fruit","Baking Goods","Vegetables","Eggs","Electrical","","","","","","","","","","","",""
"Dairy","Vegetables","Snack Foods","Hot Beverages","","","","","","","","","","","","","",""
"Dairy","Packaged Vegetables","Candy","Meat","Specialty","Seafood","","","","","","","","","","","",""
"Starchy Foods","Vegetables","Pure Juice Beverages","Snack Foods","Baking Goods","","","","","","","","","","","","",""
"Snack Foods","Pizza","Candy","Dairy","Starchy Foods","Vegetables","Baking Goods","","","","","","","","","","",""
"Eggs","Vegetables","Dairy","Snack Foods","Hot Beverages","","","","","","","","","","","","",""
"Drinks","","","","","","","","","","","","","","","","",""
"Jams and Jellies","Paper Products","","","","","","","","","","","","","","","",""
"Kitchen Products","","","","","","","","","","","","","","","","",""
"Kitchen Products","Dairy","Candy","","","","","","","","","","","","","","",""
"Electrical","Paper Products","Breakfast Foods","Meat","Jams and Jellies","Candy","","","","","","","","","","","",""
"Vegetables","Baking Goods","","","","","","","","","","","","","","","",""
"Vegetables","Drinks","Kitchen Products","","","","","","","","","","","","","","",""
"Vegetables","Electrical","Snack Foods","Eggs","","","","","","","","","","","","","",""
"Fruit","Dairy","","","","","","","","","","","","","","","",""
"Bread","Meat","Dairy","","","","","","","","","","","","","","",""
"Pizza","Snack Foods","Cleaning Supplies","Dairy","Hygiene","","","","","","","","","","","","",""
"Vegetables","Magazines","Canned Soup","Bathroom Products","","","","","","","","","","","","","",""
"Side Dishes","Vegetables","Magazines","Breakfast Foods","","","","","","","","","","","","","",""
"Paper Products","Canned Oysters","Meat","Vegetables","Jams and Jellies","Pure Juice Beverages","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Vegetables","Kitchen Products","","","","","","","","","","","","","",""
"Vegetables","Drinks","","","","","","","","","","","","","","","",""
"Cleaning Supplies","Snack Foods","Meat","Vegetables","","","","","","","","","","","","","",""
"Canned Soup","Magazines","","","","","","","","","","","","","","","",""
"Pizza","","","","","","","","","","","","","","","","",""
"Paper Products","Meat","Fruit","Side Dishes","Pizza","","","","","","","","","","","","",""
"Candy","Starchy Foods","Bathroom Products","Electrical","","","","","","","","","","","","","",""
"Vegetables","Fruit","Snack Foods","Canned Soup","","","","","","","","","","","","","",""
"Jams and Jellies","Canned Anchovies","Snack Foods","","","","","","","","","","","","","","",""
"Specialty","","","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Dairy","Snack Foods","","","","","","","","","","","","","",""
"Paper Products","Vegetables","","","","","","","","","","","","","","","",""
"Electrical","Dairy","Vegetables","Candy","","","","","","","","","","","","","",""
"Breakfast Foods","Fruit","Frozen Desserts","Eggs","Kitchen Products","Plastic Products","Baking Goods","","","","","","","","","","",""
"Bathroom Products","Carbonated Beverages","Dairy","","","","","","","","","","","","","","",""
"Dairy","Pure Juice Beverages","Canned Soup","","","","","","","","","","","","","","",""
"Vegetables","Frozen Entrees","Magazines","Hardware","Baking Goods","","","","","","","","","","","","",""
"Decongestants","Pure Juice Beverages","Cleaning Supplies","","","","","","","","","","","","","","",""
"Carbonated Beverages","Beer and Wine","Vegetables","Bread","Magazines","Eggs","Starchy Foods","Decongestants","","","","","","","","","",""
"Hardware","Vegetables","Dairy","","","","","","","","","","","","","","",""
"Magazines","Vegetables","Canned Clams","","","","","","","","","","","","","","",""
"Dairy","Magazines","Kitchen Products","","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","","","","","","","","","","","","","","","",""
"Specialty","Electrical","Bathroom Products","Meat","","","","","","","","","","","","","",""
"Magazines","Candy","Breakfast Foods","Vegetables","Snack Foods","","","","","","","","","","","","",""
"Frozen Entrees","Paper Products","Vegetables","Baking Goods","Dairy","","","","","","","","","","","","",""
"Paper Products","Dairy","Canned Soup","Vegetables","Breakfast Foods","Candy","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Bread","Electrical","Canned Tuna","Side Dishes","Beer and Wine","","","","","","","","","","","","",""
"Carbonated Beverages","Meat","Vegetables","","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Seafood","Vegetables","Bread","","","","","","","","","","","","",""
"Snack Foods","Dairy","Canned Soup","","","","","","","","","","","","","","",""
"Candy","Beer and Wine","Vegetables","","","","","","","","","","","","","","",""
"Frozen Entrees","Paper Products","Hygiene","","","","","","","","","","","","","","",""
"Miscellaneous","Specialty","Pure Juice Beverages","","","","","","","","","","","","","","",""
"Vegetables","Canned Anchovies","Snack Foods","Cold Remedies","","","","","","","","","","","","","",""
"Vegetables","Candy","","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Canned Shrimp","Vegetables","Jams and Jellies","Seafood","","","","","","","","","","","",""
"Bathroom Products","Hygiene","Snack Foods","Decongestants","Baking Goods","Plastic Products","Kitchen Products","","","","","","","","","","",""
"Vegetables","Dairy","Snack Foods","Side Dishes","","","","","","","","","","","","","",""
"Snack Foods","Electrical","","","","","","","","","","","","","","","",""
"Dairy","Meat","Bathroom Products","Pizza","Vegetables","","","","","","","","","","","","",""
"Cleaning Supplies","Bread","Seafood","Fruit","Canned Anchovies","","","","","","","","","","","","",""
"Snack Foods","Meat","Jams and Jellies","Canned Shrimp","Decongestants","Candy","","","","","","","","","","","",""
"Snack Foods","Dairy","Fruit","Hot Beverages","Bathroom Products","Beer and Wine","","","","","","","","","","","",""
"Canned Tuna","Dairy","Jams and Jellies","Bread","Fruit","","","","","","","","","","","","",""
"Dairy","Bathroom Products","Meat","Canned Clams","Vegetables","","","","","","","","","","","","",""
"Meat","Snack Foods","Electrical","Vegetables","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Pain Relievers","","","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Snack Foods","Cold Remedies","Meat","Paper Products","Dairy","Breakfast Foods","","","","","","","","","","","",""
"Meat","Frozen Desserts","Canned Anchovies","","","","","","","","","","","","","","",""
"Eggs","Candy","Snack Foods","Bread","","","","","","","","","","","","","",""
"Magazines","","","","","","","","","","","","","","","","",""
"Vegetables","Magazines","","","","","","","","","","","","","","","",""
"Cold Remedies","Snack Foods","Plastic Products","Vegetables","","","","","","","","","","","","","",""
"Bread","","","","","","","","","","","","","","","","",""
"Vegetables","Fruit","Snack Foods","Hardware","Candy","","","","","","","","","","","","",""
"Dairy","Cold Remedies","Vegetables","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Pain Relievers","Meat","Kitchen Products","","","","","","","","","","","","",""
"Vegetables","Hot Beverages","Kitchen Products","Paper Products","Jams and Jellies","","","","","","","","","","","","",""
"Baking Goods","Bread","Meat","Jams and Jellies","Canned Clams","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Dairy","Drinks","","","","","","","","","","","","","",""
"Dairy","Starchy Foods","Kitchen Products","Bread","Bathroom Products","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Bathroom Products","Pure Juice Beverages","Hygiene","Vegetables","Jams and Jellies","Meat","Dairy","Seafood","","","","","","","","","",""
"Candles","Snack Foods","Hygiene","Paper Products","Canned Sardines","Magazines","Vegetables","","","","","","","","","","",""
"Canned Anchovies","Frozen Desserts","Breakfast Foods","Vegetables","Cleaning Supplies","Candy","Kitchen Products","Starchy Foods","","","","","","","","","",""
"Snack Foods","Bathroom Products","Kitchen Products","Meat","Vegetables","Fruit","Jams and Jellies","Electrical","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Electrical","Breakfast Foods","","","","","","","","","","","","","","","",""
"Cold Remedies","Magazines","","","","","","","","","","","","","","","",""
"Magazines","","","","","","","","","","","","","","","","",""
"Kitchen Products","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Hygiene","Candles","Snack Foods","Canned Tuna","Frozen Entrees","Jams and Jellies","","","","","","","","","","","",""
"Drinks","Vegetables","Bread","","","","","","","","","","","","","","",""
"Meat","Baking Goods","Hygiene","Snack Foods","Pure Juice Beverages","","","","","","","","","","","","",""
"Fruit","Snack Foods","Side Dishes","","","","","","","","","","","","","","",""
"Beer and Wine","Dairy","Fruit","Bread","Canned Soup","","","","","","","","","","","","",""
"Breakfast Foods","Electrical","","","","","","","","","","","","","","","",""
"Baking Goods","Jams and Jellies","Candy","","","","","","","","","","","","","","",""
"Baking Goods","Meat","Fruit","Canned Anchovies","Dairy","","","","","","","","","","","","",""
"Pizza","Beer and Wine","Cleaning Supplies","Vegetables","Breakfast Foods","","","","","","","","","","","","",""
"Starchy Foods","Breakfast Foods","","","","","","","","","","","","","","","",""
"Fruit","Jams and Jellies","Hot Beverages","","","","","","","","","","","","","","",""
"Baking Goods","","","","","","","","","","","","","","","","",""
"Frozen Desserts","Fruit","Canned Soup","Eggs","","","","","","","","","","","","","",""
"Starchy Foods","Canned Soup","Frozen Entrees","","","","","","","","","","","","","","",""
"Breakfast Foods","Bread","Canned Soup","","","","","","","","","","","","","","",""
"Meat","Cleaning Supplies","Canned Soup","Starchy Foods","","","","","","","","","","","","","",""
"Fruit","Vegetables","Dairy","Kitchen Products","Snack Foods","Baking Goods","Meat","","","","","","","","","","",""
"Hot Beverages","Paper Products","Canned Clams","Meat","Beer and Wine","","","","","","","","","","","","",""
"Baking Goods","Beer and Wine","Pain Relievers","Electrical","Snack Foods","Bread","Pizza","","","","","","","","","","",""
"Dairy","Snack Foods","Bathroom Products","Kitchen Products","Miscellaneous","Meat","Breakfast Foods","","","","","","","","","","",""
"Breakfast Foods","Meat","","","","","","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Specialty","Magazines","Breakfast Foods","Snack Foods","","","","","","","","","","","","","",""
"Meat","Canned Soup","Bathroom Products","Kitchen Products","Pain Relievers","","","","","","","","","","","","",""
"Paper Products","Dairy","Snack Foods","Jams and Jellies","Candy","Meat","Bathroom Products","","","","","","","","","","",""
"Dairy","Beer and Wine","Snack Foods","Breakfast Foods","Jams and Jellies","Kitchen Products","","","","","","","","","","","",""
"Fruit","Candy","Baking Goods","Jams and Jellies","Magazines","Dairy","","","","","","","","","","","",""
"Snack Foods","Candy","Canned Soup","","","","","","","","","","","","","","",""
"Pain Relievers","Decongestants","","","","","","","","","","","","","","","",""
"Electrical","Beer and Wine","","","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Vegetables","Bread","Breakfast Foods","Pain Relievers","Meat","","","","","","","","","","",""
"Electrical","Fruit","Starchy Foods","Meat","","","","","","","","","","","","","",""
"Starchy Foods","Jams and Jellies","","","","","","","","","","","","","","","",""
"Electrical","Pizza","Vegetables","Dairy","","","","","","","","","","","","","",""
"Snack Foods","Dairy","","","","","","","","","","","","","","","",""
"Candy","Cleaning Supplies","Miscellaneous","Meat","Pure Juice Beverages","Vegetables","Fruit","","","","","","","","","","",""
"Hot Beverages","","","","","","","","","","","","","","","","",""
"Cold Remedies","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Carbonated Beverages","Snack Foods","Side Dishes","","","","","","","","","","","","","","",""
"Pizza","Meat","Cleaning Supplies","Jams and Jellies","Candy","","","","","","","","","","","","",""
"Vegetables","Baking Goods","Snack Foods","Drinks","Bread","","","","","","","","","","","","",""
"Meat","Pain Relievers","Breakfast Foods","Hardware","Dairy","Vegetables","","","","","","","","","","","",""
"Dairy","Vegetables","Canned Oysters","Canned Soup","","","","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Vegetables","Kitchen Products","Baking Goods","Jams and Jellies","","","","","","","","","","","","","",""
"Meat","Beer and Wine","Dairy","","","","","","","","","","","","","","",""
"Fruit","Breakfast Foods","Canned Oysters","Jams and Jellies","Candy","Vegetables","Plastic Products","","","","","","","","","","",""
"Vegetables","Frozen Desserts","Jams and Jellies","Snack Foods","Specialty","","","","","","","","","","","","",""
"Vegetables","Cold Remedies","Dairy","Side Dishes","Snack Foods","Fruit","","","","","","","","","","","",""
"Frozen Entrees","","","","","","","","","","","","","","","","",""
"Vegetables","Dairy","","","","","","","","","","","","","","","",""
"Bread","Hot Beverages","Electrical","","","","","","","","","","","","","","",""
"Jams and Jellies","","","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Eggs","Beer and Wine","Carbonated Beverages","Meat","Candy","","","","","","","","","","",""
"Fruit","Jams and Jellies","Specialty","","","","","","","","","","","","","","",""
"Jams and Jellies","Electrical","Snack Foods","","","","","","","","","","","","","","",""
"Bread","Carbonated Beverages","Hygiene","Vegetables","Meat","","","","","","","","","","","","",""
"Meat","Specialty","Bathroom Products","","","","","","","","","","","","","","",""
"Frozen Desserts","Hot Beverages","Breakfast Foods","Vegetables","Pure Juice Beverages","","","","","","","","","","","","",""
"Electrical","Dairy","","","","","","","","","","","","","","","",""
"Kitchen Products","Magazines","Canned Soup","Dairy","Baking Goods","Cleaning Supplies","","","","","","","","","","","",""
"Fruit","Candy","Magazines","Bathroom Products","","","","","","","","","","","","","",""
"Jams and Jellies","Beer and Wine","Dairy","Frozen Desserts","Specialty","","","","","","","","","","","","",""
"Vegetables","Dairy","","","","","","","","","","","","","","","",""
"Frozen Desserts","Meat","Fruit","Jams and Jellies","Vegetables","Dairy","Beer and Wine","Canned Soup","","","","","","","","","",""
"Jams and Jellies","","","","","","","","","","","","","","","","",""
"Vegetables","Starchy Foods","Snack Foods","Jams and Jellies","Frozen Desserts","Frozen Entrees","","","","","","","","","","","",""
"Bathroom Products","Bread","Seafood","Vegetables","","","","","","","","","","","","","",""
"Vegetables","Baking Goods","","","","","","","","","","","","","","","",""
"Meat","Dairy","Pizza","Bread","Frozen Desserts","Pure Juice Beverages","Vegetables","","","","","","","","","","",""
"Snack Foods","Specialty","","","","","","","","","","","","","","","",""
"Starchy Foods","Carbonated Beverages","Beer and Wine","Vegetables","Pure Juice Beverages","","","","","","","","","","","","",""
"Baking Goods","Paper Products","Magazines","Hygiene","","","","","","","","","","","","","",""
"Vegetables","Dairy","","","","","","","","","","","","","","","",""
"Candy","Kitchen Products","Dairy","Magazines","Breakfast Foods","Bread","Fruit","","","","","","","","","","",""
"Snack Foods","Fruit","Beer and Wine","Frozen Desserts","Jams and Jellies","","","","","","","","","","","","",""
"Baking Goods","Drinks","Bathroom Products","Specialty","Eggs","","","","","","","","","","","","",""
"Meat","Dairy","Pain Relievers","","","","","","","","","","","","","","",""
"Jams and Jellies","Fruit","Breakfast Foods","Snack Foods","","","","","","","","","","","","","",""
"Canned Tuna","Candy","","","","","","","","","","","","","","","",""
"Drinks","","","","","","","","","","","","","","","","",""
"Dairy","Bread","","","","","","","","","","","","","","","",""
"Jams and Jellies","Side Dishes","Fruit","Canned Soup","Dairy","Baking Goods","Frozen Entrees","","","","","","","","","","",""
"Plastic Products","","","","","","","","","","","","","","","","",""
"Breakfast Foods","Vegetables","","","","","","","","","","","","","","","",""
"Starchy Foods","Bathroom Products","Snack Foods","Drinks","Meat","Fruit","","","","","","","","","","","",""
"Candy","Magazines","Snack Foods","Dairy","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Hot Beverages","Beer and Wine","","","","","","","","","","","","","",""
"Vegetables","Jams and Jellies","Specialty","Carbonated Beverages","Kitchen Products","Breakfast Foods","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","Cold Remedies","","","","","","","","","","","","","","",""
"Dairy","Paper Products","Snack Foods","Meat","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","","","","","","","","","","","","","","","",""
"Baking Goods","Miscellaneous","Vegetables","Frozen Desserts","Pizza","Snack Foods","Breakfast Foods","Hot Beverages","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Canned Sardines","","","","","","","","","","","","","","","","",""
"Candy","Jams and Jellies","Dairy","Vegetables","","","","","","","","","","","","","",""
"Eggs","","","","","","","","","","","","","","","","",""
"Bread","Candy","Vegetables","Canned Soup","Canned Sardines","","","","","","","","","","","","",""
"Baking Goods","Pain Relievers","Snack Foods","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Decongestants","","","","","","","","","","","","","","",""
"Vegetables","Pain Relievers","Hygiene","Plastic Products","Pizza","","","","","","","","","","","","",""
"Meat","Bread","Eggs","Magazines","Jams and Jellies","","","","","","","","","","","","",""
"Fruit","Pain Relievers","Magazines","Paper Products","","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Side Dishes","Dairy","Jams and Jellies","Meat","Miscellaneous","Canned Tuna","","","","","","","","","","","",""
"Dairy","Frozen Desserts","Jams and Jellies","Vegetables","Canned Anchovies","Meat","","","","","","","","","","","",""
"Frozen Entrees","Bathroom Products","Paper Products","Candy","Dairy","","","","","","","","","","","","",""
"Cleaning Supplies","Hygiene","Vegetables","","","","","","","","","","","","","","",""
"Snack Foods","Paper Products","Pain Relievers","Vegetables","","","","","","","","","","","","","",""
"Fruit","Frozen Entrees","Hot Beverages","Canned Soup","Baking Goods","","","","","","","","","","","","",""
"Vegetables","Fruit","Baking Goods","Bread","Hot Beverages","Snack Foods","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","","","","","","","","","","","","","","",""
"Cold Remedies","Pain Relievers","Electrical","Jams and Jellies","Breakfast Foods","Bread","","","","","","","","","","","",""
"Decongestants","Meat","Electrical","Dairy","Carbonated Beverages","Pure Juice Beverages","Vegetables","Canned Soup","","","","","","","","","",""
"Vegetables","Dairy","Snack Foods","Pizza","Baking Goods","Canned Sardines","Hardware","","","","","","","","","","",""
"Pure Juice Beverages","Electrical","Candles","Fruit","Vegetables","Kitchen Products","Drinks","Starchy Foods","","","","","","","","","",""
"Canned Soup","Snack Foods","Hygiene","Kitchen Products","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Vegetables","Kitchen Products","Canned Shrimp","","","","","","","","","","","","",""
"Eggs","Breakfast Foods","Beer and Wine","Snack Foods","Baking Goods","Vegetables","Kitchen Products","Candles","","","","","","","","","",""
"Drinks","Snack Foods","Vegetables","Beer and Wine","Meat","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Starchy Foods","Breakfast Foods","Carbonated Beverages","","","","","","","","","","","","",""
"Dairy","Starchy Foods","Snack Foods","Frozen Desserts","Baking Goods","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","Vegetables","Eggs","","","","","","","","","","","","","",""
"Bathroom Products","Beer and Wine","Snack Foods","Meat","","","","","","","","","","","","","",""
"Hygiene","","","","","","","","","","","","","","","","",""
"Candy","Snack Foods","Magazines","Baking Goods","Breakfast Foods","","","","","","","","","","","","",""
"Meat","Beer and Wine","","","","","","","","","","","","","","","",""
"Snack Foods","Specialty","","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Baking Goods","Starchy Foods","Decongestants","Pure Juice Beverages","","","","","","","","","","","",""
"Cold Remedies","","","","","","","","","","","","","","","","",""
"Eggs","Jams and Jellies","Fruit","Carbonated Beverages","Vegetables","Snack Foods","Candy","","","","","","","","","","",""
"Breakfast Foods","Baking Goods","Snack Foods","Vegetables","Magazines","","","","","","","","","","","","",""
"Breakfast Foods","Candy","Snack Foods","Beer and Wine","","","","","","","","","","","","","",""
"Pure Juice Beverages","Baking Goods","Bread","","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Electrical","","","","","","","","","","","","","","",""
"Snack Foods","Magazines","Cleaning Supplies","Frozen Desserts","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Paper Products","Vegetables","Meat","Canned Soup","","","","","","","","","","","",""
"Vegetables","Pizza","Jams and Jellies","Fruit","","","","","","","","","","","","","",""
"Bread","Canned Soup","Candy","Snack Foods","","","","","","","","","","","","","",""
"Seafood","Candy","Plastic Products","Breakfast Foods","Vegetables","Canned Soup","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Fruit","Baking Goods","Snack Foods","Miscellaneous","Bread","Vegetables","Candy","","","","","","","","","","",""
"Snack Foods","Canned Tuna","Hygiene","Vegetables","Jams and Jellies","","","","","","","","","","","","",""
"Pain Relievers","Eggs","Jams and Jellies","Decongestants","Dairy","Bread","","","","","","","","","","","",""
"Canned Oysters","Snack Foods","Jams and Jellies","Bread","Electrical","","","","","","","","","","","","",""
"Bathroom Products","Baking Goods","Pure Juice Beverages","Plastic Products","Meat","Hot Beverages","","","","","","","","","","","",""
"Bathroom Products","Vegetables","Jams and Jellies","Eggs","Dairy","Snack Foods","","","","","","","","","","","",""
"Vegetables","Starchy Foods","Baking Goods","","","","","","","","","","","","","","",""
"Vegetables","Canned Soup","Bread","Meat","Candy","Fruit","","","","","","","","","","","",""
"Magazines","Vegetables","","","","","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","","","","","","","","","","","","","","","",""
"Eggs","Pain Relievers","Vegetables","","","","","","","","","","","","","","",""
"Baking Goods","Pizza","Jams and Jellies","Bread","","","","","","","","","","","","","",""
"Vegetables","Candy","Cleaning Supplies","Fruit","","","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Vegetables","Jams and Jellies","","","","","","","","","","","","","",""
"Dairy","Vegetables","Bread","","","","","","","","","","","","","","",""
"Snack Foods","Cleaning Supplies","Fruit","Meat","Jams and Jellies","Pain Relievers","Beer and Wine","Cold Remedies","","","","","","","","","",""
"Fruit","Dairy","Magazines","","","","","","","","","","","","","","",""
"Jams and Jellies","Hygiene","Bathroom Products","Snack Foods","","","","","","","","","","","","","",""
"Vegetables","Frozen Desserts","Candy","","","","","","","","","","","","","","",""
"Canned Soup","Specialty","Meat","Dairy","Snack Foods","Jams and Jellies","","","","","","","","","","","",""
"Snack Foods","Dairy","","","","","","","","","","","","","","","",""
"Meat","Vegetables","Specialty","Breakfast Foods","Dairy","Baking Goods","","","","","","","","","","","",""
"Breakfast Foods","Bread","Meat","Fruit","Starchy Foods","","","","","","","","","","","","",""
"Cold Remedies","Beer and Wine","","","","","","","","","","","","","","","",""
"Dairy","Vegetables","","","","","","","","","","","","","","","",""
"Snack Foods","Pure Juice Beverages","Paper Products","Canned Anchovies","Side Dishes","","","","","","","","","","","","",""
"Snack Foods","Starchy Foods","Pizza","Canned Soup","Vegetables","","","","","","","","","","","","",""
"Paper Products","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Fruit","Snack Foods","Plastic Products","Beer and Wine","Vegetables","","","","","","","","","","","","",""
"Meat","Eggs","Bathroom Products","","","","","","","","","","","","","","",""
"Pain Relievers","Decongestants","Drinks","Candy","Breakfast Foods","","","","","","","","","","","","",""
"Canned Clams","Pizza","","","","","","","","","","","","","","","",""
"Paper Products","Hot Beverages","Candles","Candy","Hardware","Electrical","","","","","","","","","","","",""
"Vegetables","Meat","Fruit","Canned Sardines","","","","","","","","","","","","","",""
"Dairy","Fruit","Cleaning Supplies","","","","","","","","","","","","","","",""
"Fruit","Dairy","Meat","","","","","","","","","","","","","","",""
"Vegetables","Hygiene","","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Carbonated Beverages","Bread","Snack Foods","Canned Soup","","","","","","","","","","","",""
"Canned Soup","Vegetables","Dairy","Carbonated Beverages","Meat","Hot Beverages","Candy","","","","","","","","","","",""
"Specialty","Vegetables","Carbonated Beverages","","","","","","","","","","","","","","",""
"Frozen Entrees","Bathroom Products","Snack Foods","","","","","","","","","","","","","","",""
"Jams and Jellies","Cold Remedies","Plastic Products","","","","","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Bathroom Products","","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Soup","Meat","Magazines","Baking Goods","","","","","","","","","","","","",""
"Bathroom Products","Meat","Jams and Jellies","Pain Relievers","Dairy","Beer and Wine","","","","","","","","","","","",""
"Specialty","","","","","","","","","","","","","","","","",""
"Specialty","Candy","Meat","","","","","","","","","","","","","","",""
"Vegetables","Cleaning Supplies","Breakfast Foods","Meat","","","","","","","","","","","","","",""
"Vegetables","Meat","Pizza","Candy","","","","","","","","","","","","","",""
"Vegetables","Pain Relievers","Frozen Entrees","Dairy","Meat","Kitchen Products","","","","","","","","","","","",""
